image_id,question,category,concise_prompt,n_descriptions_used
363,"On a circle 15 points are equally spaced. We can form triangles by joining any 3 of these. Congruent triangles, by rotation or reflection, are counted as only one triangle. How many different triangles can be drawn?
<image1>",combinatorics,"Draw a circle with 15 equally spaced small black dots on its circumference. Connect three of these dots with thin, solid black lines to form a triangle, with one vertex near the top-left, one near the top, and one near the lower-right of the circle. The circle and lines should be centered on a white background with no labels, measurements, or additional markings.",4
364,"A triangle $A B C$ is divided into four parts by two straight lines, as shown. The areas of the smaller triangles are 1,3 and 3. What is the area of the original triangle?
<image1>",metric geometry - area,"Draw a large triangle ABC with vertices A, B, and C. Inside the triangle, draw two intersecting line segments, one from B to a point on AC, and one from a point on AB to C, dividing the triangle into four regions. Label the vertices A, B, and C, and place numbers 1, 3, and 3 inside three of the smaller regions. Ensure all lines are solid and black, and the background is white.",4
365,"Two plane mirrors $O P$ and $O Q$ are inclined at an acute angle (diagram is not to scale). A ray of light $X Y$ parallel to $O Q$ strikes mirror $O P$ at $Y$. The ray is reflected and hits mirror $O Q$, is reflected again and hits mirror $O P$ and is reflected for a third time and strikes mirror $O Q$ at right angles at $R$ as shown. If $O R=5 \mathrm{~cm}$, what is the distance $d$ of the ray $X Y$ from the mirror $O Q$?
<image1>",metric geometry - length,"Draw a diagram with two intersecting lines, OQ and OP, forming an acute angle at point O. Label points P, Q, R, X, and Y, with OQ as a horizontal line and OP as a slanted line. Include a zig-zag path between the lines, representing a light ray, with a right-angle marker at point R. Add labels ""5"" between O and R, and ""d"" next to a vertical dashed line from Y to OQ.",4
1,"Which number should be written in place of the question mark?
<image1>",arithmetic,"Draw a horizontal grayscale train with 7 rectangular cars and a locomotive on the right. Each car has a light gray body, a darker gray roof, and 2 small wheels underneath. The cars are labeled from left to right: ""90"", ""80"", ""70"", ""?"", ""50"", ""40"", ""30"". The locomotive is labeled ""20"" and has a distinctive shape with a front bumper, windows, and 4 wheels. Connect the cars with short horizontal bars. Place the train on a white background.",4
5,"Which number do you have to write in the last daisy?
<image1>",arithmetic,"Draw a horizontal row of 5 identical daisy shapes, each with 6 oval petals and a light gray circular center. Label the first daisy's center with ""48"" and the last daisy's center with a question mark ""?"". Connect the daisies with 4 right-pointing arrows, labeling them with ""-20"", ""+9"", ""-6"", and ""+30"" from left to right. Use solid black lines and maintain consistent proportions.",4
8,"The sums of the all the three numbers on each side of the triangle are equal. Two numbers happened to be stained with ink. How much is the sum of these two numbers?
<image1>",arithmetic,"Draw a large equilateral triangle with 6 circles: one at the top, one at the bottom left, one at the bottom right, one at the bottom center, and one on each side roughly midway between the top and bottom. Label the circles with the numbers 7 (top), 1 (bottom left), 6 (bottom center), and 3 (bottom right), and place a question mark in each of the side circles. Add a large, irregular black ink stain covering the area between the side circles, partially obscuring the question marks. Connect the circles to form a triangle with solid black lines.",4
11,"Mike has built a construction, shown in the upper picture, from equal cubes. Lily has taken several cubes out of it, thus Mike's construction became such as we see in the lower picture. How many cubes has Lily taken?
<image1>",solid geometry,"Draw a diagram with two 3D constructions made of equal-sized unit cubes, one above the other, with no text or labels. The upper construction is a solid rectangular block with 3 cubes across, 2 cubes tall, and 2 cubes deep. The lower construction has a similar base but with cubes removed, creating a recessed area and two taller stacks at the back corners. Use solid black lines on a white background, with no shading or hidden edges.",4
13,"Which of these figures differs from the rest four?
<image1>",transformation geometry,"Draw a horizontal row of 5 stick figures labeled A, B, C, D, and E, each composed of a circle head, a square or triangular body part, and lines for arms and legs. Figures A-D have a square torso and a downward-pointing triangle skirt, while figure E has a triangular upper body and a square lower body. Position each label above its respective figure, using solid black lines on a white background.",4
16,"How many points are there in the three unseen sides of dice?
<image1>",arithmetic,"Draw a 3D cube representing a die, with three visible faces: front, top, and right. The front face has 5 black dots, the top face has 4 dots, and the right face has 1 or 2 dots, arranged in standard die patterns. Use solid black lines for edges and dots, on a plain white background.",4
20,"How many plums (see the picture) weigh as much as an apple?
<image1>",arithmetic,"Draw a balance scale with a horizontal beam, a central triangular pivot, and two shallow V-shaped pans. On the left pan, place 3 large apples and 2 small gray round fruits. On the right pan, place 1 apple and 7 small gray round fruits. Each apple has a stem and a leaf, and each small fruit has a short stem. The pans are symmetrically positioned, with the beam appearing level.",4
21,"Which of the figures shown bellow cannot be cut out of the figure illustrated nearby?
<image1>
<image2>",combinatorial geometry,"Draw a diagram with two panels separated by a thick blue horizontal line. The top panel contains a single polyomino figure made of unit squares, with a specific arrangement of 11 squares. The bottom panel contains five separate polyomino figures, each made of unit squares, labeled A, B, C, D, and E, with specific arrangements of squares for each. Include blue text labels ""<image1>:"" and ""<image2>:"" at the top left of each panel.",4
23,"Tom bought a chocolate heart (see the picture) to Mary on her birthday.
<image1>
How many grams did the chocolate weigh, if each square weighs 10 grams?",combinatorial geometry,"Draw a heart-shaped figure made of a 3x4 grid of squares, with two triangular peaks at the top and a single triangle at the bottom, all composed of solid black lines on a white background, with the heart centered and symmetrical.",4
25,"A wooden block has 8 vertices. One vertex is cut off now (see the picture).
<image1>
How many vertices has the block now?",solid geometry,"Draw a 3D rectangular block with one corner cut off, revealing a small triangular face. The block has three visible faces: front, top, and right side. The cut-off corner is near the top-right edge, with solid black lines forming the block's edges and dashed lines inside the triangular cut area.",4
27,"Theresa moves a pencil along the line. She starts at the arrow shown. In which order will she go past the shapes?
<image1>",topology,"Draw a single continuous curved black line on a white background that loops and crosses itself, starting with a large solid black arrow pointing right at the top-left. The line forms multiple loops, including a small loop near the upper-left, a large loop near the upper-middle, and additional loops near the upper-right and lower-left. Along the line, include a filled black square near the center-left, a large filled black circle and a smaller filled black circle near the right-center, and a smaller solid black arrow pointing upward and to the right near the lower-left. The line ends as a loose curve near the bottom-right, with no terminal arrow.",4
28,"There are more grey squares than white. How many more?
<image1>",counting,"Draw a 5x5 grid of squares with thin black lines, where the top and bottom rows are entirely light grey, and the leftmost and rightmost squares in rows 2-4 are light grey, forming a border around a central white region with a light grey square at the exact center.",4
29,"A big square is made from 25 small squares put together. A few of the small squares have been lost. How many have been lost?
<image1>",counting,"Draw a 2D diagram of 17 connected, axis-aligned unit squares, arranged in a 5x5 grid pattern with some missing squares. The bottom row has 5 squares, the second row has 4 squares with gaps, the third row has 2 squares, the fourth row has 2 squares on the right, and the top row has 3 squares. All lines are solid black, and the background is white, with no labels, text, or annotations.",4
32,"The kangaroo is inside how many circles?
<image1>",counting,"Draw a diagram with 4 overlapping black-outlined circles on a white background. The circles should include a very large one on the left, a medium-sized one near the center, and two large ones on the upper and lower right. Place a small orange kangaroo silhouette within the central overlapping region, facing right.",4
